rank,name,age,team,position
1,Nathan MacKinnon,29,COL,C
2,Mikko Rantanen,28,COL,RW
3,Leon Draisaitl,29,EDM,C
4,Kirill Kaprizov,27,MIN,LW
5,Nikita Kucherov,31,TBL,RW
6,Mitch Marner,27,TOR,RW
7,Connor McDavid,28,EDM,C
8,Kyle Connor,28,WPG,LW
9,Jack Eichel,28,VEG,C
10,Jesper Bratt,26,NJD,W
11,Jack Hughes,23,NJD,C
12,Cale Makar,26,COL,D
13,Sam Reinhart,29,FLA,C
14,Martin Nečas,26,CAR,C
15,Quinn Hughes,25,VAN,D
16,Mark Scheifele,31,WPG,C
17,Travis Konecny,27,PHI,C
18,William Nylander,28,TOR,C
19,Kirill Marchenko,24,CBJ,RW
20,Sidney Crosby,37,PIT,C
21,Brandon Hagel,26,TBL,LW
22,Brayden Point,28,TBL,C
23,Tim Stützle,23,OTT,LW
24,Zach Werenski,27,CBJ,D
25,Dylan Strome,27,WSH,C
26,Anže Kopitar,37,LAK,C
27,Artemi Panarin,33,NYR,LW
28,Sebastian Aho,27,CAR,F
29,Clayton Keller,26,UTA,C
30,David Pastrňák,28,BOS,RW
31,John Tavares,34,TOR,C
32,Jake Guentzel,30,TBL,C
33,Nick Suzuki,25,MTL,C
34,Matthew Tkachuk,27,FLA,LW
35,Drake Batherson,26,OTT,C
36,Mikael Granlund,32,SJS,C
37,Nico Hischier,26,NJD,C
38,Lucas Raymond,22,DET,LW
39,Aleksander Barkov,29,FLA,C
40,Sean Monahan,30,CBJ,C
41,Josh Morrissey,29,WPG,D
42,Brady Tkachuk,25,OTT,LW
43,Cole Caufield,24,MTL,RW
44,Dylan Guenther,21,UTA,RW
45,Adrian Kempe,28,LAK,LW
46,Connor Bedard,19,CHI,C
47,Matt Boldy,23,MIN,LW
48,Logan Cooley,20,UTA,C
49,Jordan Kyrou,26,STL,C
50,Brad Marchand,36,BOS,LW
51,Gabriel Vilardi,25,WPG,C
52,Ivan Barbashev,29,VEG,C
53,Anthony Cirelli,27,TBL,C
54,Matt Duchene,34,DAL,C
55,Filip Forsberg,30,NSH,C
56,Mark Stone,32,VEG,RW
57,Evgeni Malkin,38,PIT,C
58,Connor McMichael,24,WSH,C
59,Aliaksei Protas,24,WSH,C
60,Rickard Rakell,31,PIT,RW
61,Marco Rossi,23,MIN,C
62,Victor Hedman,34,TBL,D
63,Elias Pettersson,26,VAN,C
64,Nick Schmaltz,28,UTA,C
65,Shea Theodore,29,VEG,D
66,Robert Thomas,25,STL,C
67,Alex Tuch,28,BUF,RW
68,Sam Bennett,28,FLA,C
69,Nikolaj Ehlers,28,WPG,LW
70,William Eklund,22,SJS,LW
71,Conor Garland,28,VAN,RW
72,Shayne Gostisbehere,31,CAR,D
73,Dylan Larkin,28,DET,C
74,Anders Lee,34,NYI,LW
75,Mason Marchment,29,DAL,F
76,Jared McCann,28,SEA,C
77,Timo Meier,28,NJD,RW
78,Matvei Michkov,20,PHI,RW
79,Bryan Rust,32,PIT,RW
80,Mikhail Sergachev,26,UTA,D
81,Tage Thompson,27,BUF,C
82,Carter Verhaeghe,29,FLA,C
83,Macklin Celebrini,18,SJS,F
84,Pierre-Luc Dubois,26,WSH,LW
85,Adam Fox,26,NYR,D
86,Lane Hutson,20,MTL,D
87,Jonathan Marchessault,34,NSH,C
88,Stefan Noesen,31,NJD,RW
89,JJ Peterka,23,BUF,RW
90,Neal Pionk,29,WPG,D
91,Andrei Svechnikov,24,CAR,RW
92,Fabian Zetterlund,25,SJS,W
93,Evan Bouchard,25,EDM,D
94,Rasmus Dahlin,24,BUF,D
95,Alex DeBrincat,27,DET,RW
96,Jake DeBrusk,28,VAN,LW
97,Bo Horvat,29,NYI,C
98,Jonathan Huberdeau,31,CGY,LW
99,Alex Laferriere,23,LAK,RW
100,Alex Ovechkin,39,WSH,LW
101,Kyle Palmieri,33,NYI,RW
102,Troy Terry,27,ANA,C
103,Jake Walman,28,SJS,D
104,Oliver Bjorkstrand,29,SEA,RW
105,William Cuylle,22,NYR,LW
106,Tomáš Hertl,31,VEG,C
107,Dylan Holloway,23,STL,C
108,Roman Josi,34,NSH,D
109,Erik Karlsson,34,PIT,D
110,Tyler Toffoli,32,SJS,C
111,Tom Wilson,30,WSH,RW
112,Pavel Buchnevich,29,STL,LW
113,John Carlson,35,WSH,D
114,Dougie Hamilton,31,NJD,D
115,Anton Lundell,23,FLA,C
116,Auston Matthews,27,TOR,C
117,Casey Mittelstadt,26,COL,C
118,Cole Perfetti,23,WPG,C
119,Jason Robertson,25,DAL,LW
120,Chandler Stephenson,30,SEA,C
121,Teuvo Teräväinen,30,CHI,F
122,Jason Zucker,33,BUF,LW
123,Jamie Benn,35,DAL,LW
124,Brock Boeser,27,VAN,RW
125,Claude Giroux,37,OTT,C
126,Wyatt Johnston,21,DAL,C
127,Nazem Kadri,34,CGY,C
128,Owen Power,22,BUF,D
129,Steven Stamkos,34,NSH,C
130,Owen Tippett,25,PHI,RW
131,Dmitri Voronkov,24,CBJ,LW
132,Jakob Chychrun,26,WSH,D
133,Jake Evans,28,MTL,C
134,Kevin Fiala,28,LAK,LW
135,Roope Hintz,28,DAL,LW
136,Simon Holmström,23,NYI,RW
137,Seth Jarvis,22,CAR,C
138,Kent Johnson,22,CBJ,C
139,Alexis Lafrenière,23,NYR,LW
140,Adam Lowry,31,WPG,LW
141,J.T. Miller,31,VAN,C
142,Brandon Montour,30,SEA,D
143,Joshua Norris,25,OTT,C
144,Ryan O'Reilly,33,NSH,C
145,Jack Roslovic,28,CAR,C
146,Mika Zibanejad,31,NYR,C
147,Ryan Donato,28,CHI,C
148,Aaron Ekblad,28,FLA,D
149,Brock Nelson,33,NYI,C
150,Jake Sanderson,22,OTT,D
151,Travis Sanheim,28,PHI,D
152,Jaden Schwartz,32,SEA,C
153,Tyler Seguin,33,DAL,C
154,Cole Sillinger,21,CBJ,C
155,Vincent Trocheck,31,NYR,C
156,Connor Zary,23,CGY,C
157,Mats Zuccarello,37,MIN,LW
158,Bowen Byram,23,BUF,D
159,Brandt Clarke,21,LAK,D
160,Dylan Cozens,23,BUF,C
161,Noah Dobson,25,NYI,D
162,Pavel Dorofeyev,24,VEG,LW
163,Brock Faber,22,MIN,D
164,Taylor Hall,33,CHI,LW
165,Zach Hyman,32,EDM,LW
166,Matthew Knies,22,TOR,LW
167,Artturi Lehkonen,29,COL,LW
168,Elias Lindholm,30,BOS,C
169,Dawson Mercer,23,NJD,C
170,Vladislav Namestnikov,32,WPG,C
171,Nino Niederreiter,32,WPG,RW
172,Colton Parayko,31,STL,D
173,Nick Paul,29,TBL,LW
174,Alex Pietrangelo,35,VEG,D
175,Eric Robinson,29,CAR,LW
176,Moritz Seider,23,DET,D
177,Kiefer Sherwood,29,VAN,RW
178,Juraj Slafkovsky,20,MTL,LW
179,Pius Suter,28,VAN,F
180,Maxim Tsyplakov,26,NYI,F
181,Matty Beniers,22,SEA,C
182,Tyler Bertuzzi,29,CHI,LW
183,Michael Bunting,29,PIT,LW
184,Matthew Coronato,22,CGY,RW
185,Sean Couturier,32,PHI,C
186,Warren Foegele,28,LAK,LW
187,Brett Howden,26,VEG,C
188,Scott Laughton,30,PHI,C
189,Trevor Moore,29,LAK,LW
190,Ryan Nugent-Hopkins,31,EDM,C
191,Morgan Rielly,30,TOR,D
192,Brayden Schenn,33,STL,C
193,MacKenzie Weegar,31,CGY,D
194,Blake Coleman,33,CGY,C
195,J.T. Compher,29,DET,LW
196,Phillip Danault,31,LAK,C
197,Ryker Evans,23,SEA,D
198,Adam Gaudette,28,OTT,C
199,Matt Grzelcyk,31,PIT,D
200,Noah Hanifin,28,VEG,D
201,Luke Hughes,21,NJD,D
202,William Karlsson,32,VEG,C
203,Jordan Martinook,32,CAR,LW
204,Mike Matheson,30,MTL,D
205,Ryan McLeod,25,BUF,C
206,Jake Neighbours,22,STL,LW
207,Valeri Nichushkin,29,COL,RW
208,Jean-Gabriel Pageau,32,NYI,C
209,Damon Severson,30,CBJ,D
210,Logan Stankoven,21,DAL,C
211,Frank Vatrano,30,ANA,LW
212,Alexander Wennberg,30,SJS,C
213,Pavel Zacha,27,BOS,C
214,Joel Armia,31,MTL,RW
215,Mikael Backlund,35,CGY,C
216,Teddy Blueger,30,VAN,C
217,Thomas Chabot,28,OTT,D
218,Tyson Foerster,23,PHI,RW
219,Brendan Gallagher,32,MTL,RW
220,Vladislav Gavrikov,29,LAK,D
221,Samuel Girard,26,COL,D
222,Barrett Hayton,24,UTA,C
223,Luke Kunin,27,SJS,C
224,Kris Letang,37,PIT,D
225,Charlie McAvoy,27,BOS,D
226,Dmitry Orlov,33,CAR,D
227,Evan Rodrigues,31,FLA,C
228,Reilly Smith,33,NYR,RW
229,Ryan Strome,31,ANA,C
230,Alex Vlasic,23,CHI,D
231,Shane Wright,21,SEA,C
232,Rasmus Andersson,28,CGY,D
233,Mason Appleton,29,WPG,C
234,Justin Brazeau,26,BOS,F
235,Bobby Brink,23,PHI,RW
236,Quinton Byfield,22,LAK,C
237,Mattias Ekholm,34,EDM,D
238,Adam Fantilli,20,CBJ,C
239,Nick Foligno,37,CHI,LW
240,Morgan Frost,25,PHI,C
241,Frédérick Gaudreau,31,MIN,C
242,Yanni Gourde,33,SEA,C
243,Thomas Harley,23,DAL,D
244,Miro Heiskanen,25,DAL,D
245,Michael Kesselring,25,UTA,D
246,Alex Killorn,35,ANA,C
247,Keegan Kolesar,27,VEG,RW
248,Jesperi Kotkaniemi,24,CAR,C
249,Mason Lohrei,24,BOS,D
250,Darnell Nurse,29,EDM,D
251,Mathieu Olivier,27,CBJ,F
252,Ondřej Palát,33,NJD,LW
253,Taylor Raddysh,26,WSH,RW
254,Eeli Tolvanen,25,SEA,RW
255,Kaapo Kakko,23,SEA,RW
256,Connor Brown,31,EDM,RW
257,Yegor Chinakhov,23,CBJ,RW
258,Andrew Copp,30,DET,C
259,Evgenii Dadonov,35,DAL,RW
260,Simon Edvinsson,21,DET,D
261,Luke Evangelista,22,NSH,RW
262,Cutter Gauthier,21,ANA,LW
263,Morgan Geekie,26,BOS,C
264,Emil Heineman,23,MTL,LW
265,Danton Heinen,29,VAN,C
266,Mattias Janmark,32,EDM,C
267,Patrick Kane,36,DET,RW
268,Eetu Luostarinen,26,FLA,C
269,Jack McBain,25,UTA,C
270,Bobby McMann,28,TOR,F
271,Mason McTavish,22,ANA,C
272,Niko Mikkola,28,FLA,D
273,Ivan Provorov,28,CBJ,D
274,Rasmus Sandin,24,WSH,D
275,Jordan Staal,36,CAR,C
276,Brandon Tanev,33,SEA,LW
277,Josh Anderson,30,MTL,RW
278,Philip Broberg,23,STL,D
279,Paul Cotter,25,NJD,C
280,Charlie Coyle,32,BOS,C
281,Oliver Ekman-Larsson,33,TOR,D
282,Joel Eriksson Ek,28,MIN,C
283,Marcus Foligno,33,MIN,LW
